Id,Date,Quantity
3245,2016-12-19,231.0
3245,2016-12-26,49.0
3245,2017-01-02,1088.0
3245,2017-01-09,78.0
3245,2017-01-16,10.0
3245,2017-01-23,417.0
3245,2017-01-30,1045.0
3245,2017-02-06,81.0
3245,2017-02-13,259.0
3245,2017-02-20,58.0
3245,2017-02-27,1251.0
3245,2017-03-06,184.0
3245,2017-03-13,55.0
3245,2017-03-20,138.0
3245,2017-03-27,1076.0
3245,2017-04-03,70.0
3245,2017-04-10,683.0
3245,2017-04-17,193.0
3245,2017-04-24,182.0
3245,2017-05-01,116.0
3245,2017-05-08,688.0
3245,2017-05-15,289.0
3245,2017-05-22,49.0
3245,2017-05-29,38.0
3245,2017-06-05,899.0
3245,2017-06-12,189.0
3245,2017-06-19,731.0
3245,2017-06-26,631.0
3245,2017-07-03,492.0
3245,2017-07-10,1136.0
3245,2017-07-17,92.0
3245,2017-07-24,398.0
3245,2017-07-31,1018.0
3245,2017-08-07,176.0
3245,2017-08-14,40.0
3245,2017-08-21,114.0
3245,2017-08-28,22.0
3245,2017-09-04,358.0
3245,2017-09-11,116.0
3245,2017-09-18,43.0
3245,2017-09-25,270.0
3245,2017-10-02,1407.0
3245,2017-10-09,766.0
3245,2017-10-16,339.0
3245,2017-10-23,245.0
3245,2017-10-30,1689.0
3245,2017-11-06,201.0
3245,2017-11-13,594.0
3245,2017-11-20,1202.0
3245,2017-11-27,195.0
3245,2017-12-04,197.0
3245,2017-12-11,81.0
3245,2017-12-18,52.0
3245,2017-12-25,457.0
3245,2018-01-01,98.0
3245,2018-01-08,774.0
3245,2018-01-15,299.0
3245,2018-01-22,312.0
3245,2018-01-29,229.0
3245,2018-02-05,604.0
3245,2018-02-12,147.0
3318,2012-12-31,0.0
3318,2013-01-07,0.0
3318,2013-01-14,0.0
3318,2013-01-21,0.0
3318,2013-01-28,0.0
3318,2013-02-04,0.0
3318,2013-02-11,0.0
3318,2013-02-18,0.0
3318,2013-02-25,0.0
3318,2013-03-04,0.0
3318,2013-03-11,0.0
3318,2013-03-18,0.0
3318,2013-03-25,0.0
3318,2013-04-01,0.0
3318,2013-04-08,0.0
3318,2013-04-15,0.0
3318,2013-04-22,0.0
3318,2013-04-29,0.0
3318,2013-05-06,0.0
3318,2013-05-13,0.0
3318,2013-05-20,0.0
3318,2013-05-27,0.0
3318,2013-06-03,0.0
3318,2013-06-10,0.0
3318,2013-06-17,0.0
3318,2013-06-24,0.0
3318,2013-07-01,0.0
3318,2013-07-08,0.0
3318,2013-07-15,0.0
3318,2013-07-22,0.0
3318,2013-07-29,0.0
3318,2013-08-05,0.0
3318,2013-08-12,0.0
3318,2013-08-19,0.0
3318,2013-08-26,0.0
3318,2013-09-02,0.0
3318,2013-09-09,0.0
3318,2013-09-16,0.0
3318,2013-09-23,0.0
3318,2013-09-30,0.0
3318,2013-10-07,0.0
3318,2013-10-14,0.0
3318,2013-10-21,0.0
3318,2013-10-28,0.0
3318,2013-11-04,0.0
3318,2013-11-11,0.0
3318,2013-11-18,0.0
3318,2013-11-25,0.0
3318,2013-12-02,0.0
3318,2013-12-09,0.0
3318,2013-12-16,0.0
3318,2013-12-23,0.0
3318,2013-12-30,0.0
3318,2014-01-06,0.0
3318,2014-01-13,0.0
3318,2014-01-20,0.0
3318,2014-01-27,0.0
3318,2014-02-03,0.0
3318,2014-02-10,0.0
3318,2014-02-17,0.0
3318,2014-02-24,0.0
3318,2014-03-03,0.0
3318,2014-03-10,0.0
3318,2014-03-17,0.0
3318,2014-03-24,0.0
3318,2014-03-31,0.0
3318,2014-04-07,0.0
3318,2014-04-14,0.0
3318,2014-04-21,0.0
3318,2014-04-28,0.0
3318,2014-05-05,0.0
3318,2014-05-12,0.0
3318,2014-05-19,0.0
3318,2014-05-26,0.0
3318,2014-06-02,0.0
3318,2014-06-09,0.0
3318,2014-06-16,0.0
3318,2014-06-23,0.0
3318,2014-06-30,0.0
3318,2014-07-07,0.0
3318,2014-07-14,0.0
3318,2014-07-21,0.0
3318,2014-07-28,0.0
3318,2014-08-04,0.0
3318,2014-08-11,0.0
3318,2014-08-18,0.0
3318,2014-08-25,0.0
3318,2014-09-01,0.0
3318,2014-09-08,0.0
3318,2014-09-15,0.0
3318,2014-09-22,0.0
3318,2014-09-29,0.0
3318,2014-10-06,0.0
3318,2014-10-13,0.0
3318,2014-10-20,0.0
3318,2014-10-27,0.0
3318,2014-11-03,0.0
3318,2014-11-10,0.0
3318,2014-11-17,0.0
3318,2014-11-24,0.0
3318,2014-12-01,0.0
3318,2014-12-08,0.0
3318,2014-12-15,0.0
3318,2014-12-22,0.0
3318,2014-12-29,0.0
3318,2015-01-05,0.0
3318,2015-01-12,0.0
3318,2015-01-19,0.0
3318,2015-01-26,0.0
3318,2015-02-02,0.0
3318,2015-02-09,0.0
3318,2015-02-16,0.0
3318,2015-02-23,0.0
3318,2015-03-02,0.0
3318,2015-03-09,0.0
3318,2015-03-16,0.0
3318,2015-03-23,0.0
3318,2015-03-30,0.0
3318,2015-04-06,0.0
3318,2015-04-13,0.0
3318,2015-04-20,0.0
3318,2015-04-27,0.0
3318,2015-05-04,0.0
3318,2015-05-11,0.0
3318,2015-05-18,0.0
3318,2015-05-25,0.0
3318,2015-06-01,0.0
3318,2015-06-08,0.0
3318,2015-06-15,0.0
3318,2015-06-22,0.0
3318,2015-06-29,0.0
3318,2015-07-06,0.0
3318,2015-07-13,0.0
3318,2015-07-20,0.0
3318,2015-07-27,0.0
3318,2015-08-03,0.0
3318,2015-08-10,0.0
3318,2015-08-17,0.0
3318,2015-08-24,0.0
3318,2015-08-31,0.0
3318,2015-09-07,0.0
3318,2015-09-14,0.0
3318,2015-09-21,0.0
3318,2015-09-28,0.0
3318,2015-10-05,0.0
3318,2015-10-12,0.0
3318,2015-10-19,0.0
3318,2015-10-26,0.0
3318,2015-11-02,0.0
3318,2015-11-09,0.0
3318,2015-11-16,0.0
3318,2015-11-23,0.0
3318,2015-11-30,0.0
3318,2015-12-07,0.0
3318,2015-12-14,0.0
3318,2015-12-21,0.0
3318,2015-12-28,0.0
3318,2016-01-04,0.0
3318,2016-01-11,0.0
3318,2016-01-18,0.0
3318,2016-01-25,0.0
3318,2016-02-01,0.0
3318,2016-02-08,0.0
3318,2016-02-15,0.0
3318,2016-02-22,0.0
3318,2016-02-29,0.0
3318,2016-03-07,0.0
3318,2016-03-14,0.0
3318,2016-03-21,0.0
3318,2016-03-28,0.0
3318,2016-04-04,0.0
3318,2016-04-11,0.0
3318,2016-04-18,0.0
3318,2016-04-25,0.0
3318,2016-05-02,0.0
3318,2016-05-09,0.0
3318,2016-05-16,0.0
3318,2016-05-23,0.0
3318,2016-05-30,0.0
3318,2016-06-06,0.0
3318,2016-06-13,0.0
3318,2016-06-20,0.0
3318,2016-06-27,0.0
3318,2016-07-04,0.0
3318,2016-07-11,0.0
3318,2016-07-18,0.0
3318,2016-07-25,0.0
3318,2016-08-01,0.0
3318,2016-08-08,0.0
3318,2016-08-15,0.0
3318,2016-08-22,0.0
